t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  0.1000  -0.0000   0.0000  -0.0122   0.0000   0.0987   0.0580  -0.0061  -0.0381  -0.0002  -0.0002   0.0004  -0.0000  -0.0000   0.0000 
  0.2000   1.1794   3.4450   0.8998   3.7247   0.4994   1.9034   0.5869   1.7822   0.1156  -0.0070   0.1653   0.0115  -0.0007   0.0166 
  0.3000   1.3861   7.2264   0.9768   6.3469   0.1558   1.5329   0.2380   1.7519   0.1992   0.0059   0.3640   0.0315   0.0002   0.0530 
  0.4000   0.8754   8.6085   0.3931   9.4636   0.0242   1.7900   0.1463   1.6394   0.2418  -0.0167   0.5456   0.0557  -0.0002   0.1075 
  0.5000   1.2888  10.2296   1.2199  11.7252  -0.4743   1.9363   0.4337   1.6515   0.3058  -0.0196   0.6314   0.0863   0.0012   0.1707 
  0.6000  -0.0405  12.4547   0.9241  13.5571  -0.8595   1.9285   0.3618   1.7485   0.3362  -0.0017   0.8159   0.1195   0.0067   0.2522 
  0.7000   0.3891  15.9565   1.3050  15.2148  -0.5644   1.6134   0.5064   1.8515   0.4108   0.0207   0.9570   0.1587   0.0190   0.3479 
  0.8000   0.4864  13.1316   0.8430  12.1345  -0.6353   0.3947   0.0597   1.0067   0.3324   0.0169   0.7772   0.1894   0.0319   0.4257 
  0.9000   0.8065  11.3847   0.6728  12.1507  -0.5920   0.4899   0.0320   0.6656   0.3127  -0.0112   0.7161   0.2183   0.0438   0.4973 
  1.0000   0.1256   9.3542   1.0862   9.3137  -0.6665   0.8015   0.2718   0.3921   0.2485   0.0125   0.5668   0.2396   0.0567   0.5540 
  1.1000   0.4053  10.0189   0.5512  10.3634  -0.2207   0.9028   0.0415   0.9608   0.2667  -0.0025   0.6307   0.2624   0.0705   0.6170 
  1.2000   0.5593   9.1556   1.0457   8.9165  -0.3298   0.5393   0.0943   0.6042   0.2460   0.0091   0.5346   0.2819   0.0855   0.6705 
  1.3000   0.5958   9.5852   0.5269   9.6582  -0.2813   0.5098   0.0260   0.9487   0.2546  -0.0018   0.5883   0.3020   0.1012   0.7293 
  1.4000   0.9403   9.5569   1.0254   8.8881  -0.3004   0.2095   0.0398   0.8240   0.2551   0.0094   0.5350   0.3204   0.1189   0.7828 
  1.5000   1.0497   9.2772   0.3202   9.0948  -0.5193   0.2666  -0.0666   1.0110   0.2468  -0.0068   0.5520   0.3384   0.1358   0.8380 
  1.6000   0.9849   9.0340   0.4256   8.9651  -0.5410   0.6275   0.0606   0.9504   0.2426  -0.0061   0.5386   0.3550   0.1534   0.8919 
  1.7000   0.8187   8.7908   0.5836   9.2894  -0.5817   0.9755   0.0909   0.9521   0.2435  -0.0092   0.5415   0.3711   0.1718   0.9460 
  1.8000   0.4053   9.1232   0.8187   9.9216  -0.4639   1.1590   0.1549   0.7617   0.2534  -0.0048   0.5786   0.3863   0.1921   1.0039 
  1.9000   0.5269   9.0462   1.3010   9.0948  -0.4743   0.9426   0.0407   0.7712   0.2496   0.0091   0.5296   0.3989   0.2136   1.0569 
  2.0000   0.4661   9.0746   0.4539   9.3623  -0.4657   1.0698   0.0035   1.0872   0.2420  -0.0037   0.5687   0.4111   0.2345   1.1137 
  2.1000   0.7336   9.1313   0.9889   9.2042  -0.3817   1.1997   0.1471   1.0300   0.2507   0.0023   0.5394   0.4220   0.2571   1.1677 
  2.2000   0.6242   9.2286   0.5593   9.8892  -0.4916   1.2274   0.0710   0.8552   0.2538  -0.0091   0.5823   0.4328   0.2801   1.2259 
  2.3000   0.5512   9.8041   1.0254   9.2934  -0.4960   0.8309   0.2077   0.5730   0.2584   0.0123   0.5689   0.4404   0.3048   1.2828 
  2.4000   0.7903   9.9824   0.8754   9.2042  -0.4527   0.3402   0.0675   0.7331   0.2607   0.0108   0.5689   0.4467   0.3301   1.3397 
  2.5000   1.0457   8.9489   0.4499   8.9489  -0.4873   0.4709  -0.0009   0.6656   0.2424  -0.0074   0.5325   0.4530   0.3536   1.3929 
  2.6000   0.3040   8.8071   0.4782   9.5244  -0.3462   1.1218   0.0866   0.5462   0.2389  -0.0068   0.5698   0.4579   0.3770   1.4499 
  2.7000   0.4904   9.1799   1.1551   9.6663  -0.1800   1.0378   0.1878   0.4207   0.2561   0.0022   0.5585   0.4608   0.4024   1.5057 
  2.8000   0.7336   9.2772   0.7214   8.9854  -0.3428   0.7002   0.1177   0.6596   0.2465   0.0035   0.5457   0.4620   0.4270   1.5603 
  2.9000   0.7052   9.3866   0.7295   9.0259  -0.3047   0.7496   0.0848   0.9539   0.2481   0.0048   0.5512   0.4618   0.4518   1.6154 
  3.0000   0.9038   9.2205   0.8025   9.1191  -0.2969   0.7314   0.0087   1.0006   0.2506   0.0000   0.5400   0.4607   0.4769   1.6694 
  3.1000   0.9605   9.1110   0.5593   9.3785  -0.5618   0.8353   0.0147   0.9660   0.2501  -0.0084   0.5510   0.4590   0.5018   1.7245 
  3.2000   0.6242   9.7271   0.8268   9.3258  -0.5167   0.7089   0.1532   0.8509   0.2563   0.0075   0.5715   0.4544   0.5271   1.7817 
  3.3000   0.7417   9.4717   0.7538   8.9489  -0.3826   0.4198  -0.1368   0.9495   0.2490   0.0067   0.5495   0.4485   0.5513   1.8366 
  3.4000   0.9889   9.2448   0.6687   9.7190  -0.3990   0.5990  -0.2467   0.8673   0.2578  -0.0099   0.5619   0.4427   0.5764   1.8928 
  3.5000   0.4296   8.3329   0.7457   9.6541  -0.5306   1.0733  -0.1601   0.4787   0.2395  -0.0126   0.5458   0.4363   0.5995   1.9474 
  3.6000   0.3648   9.2205   0.8795   9.5001  -0.4285   1.2854   0.0216   0.6821   0.2496   0.0029   0.5674   0.4269   0.6226   2.0042 
  3.7000   0.3567   8.9368   0.5269   9.4515  -0.2865   1.1685   0.1073   0.6024   0.2409  -0.0043   0.5683   0.4171   0.6447   2.0610 
  3.8000   0.6242   9.3907   0.9605   9.1961  -0.2995   1.2023   0.3367   0.6812   0.2521   0.0066   0.5520   0.4047   0.6666   2.1162 
  3.9000   0.8430   9.4150   1.0740   9.3056  -0.3687   0.9971   0.0130   0.7712   0.2580   0.0043   0.5456   0.3909   0.6884   2.1707 
  4.0000   0.5350   9.3745   0.5593   9.1435  -0.3618   0.8881   0.0225   0.7911   0.2452   0.0032   0.5657   0.3768   0.7085   2.2273 
  4.1000   0.7538  10.1689   0.9119   9.3056  -0.1887   0.5626   0.0303   0.8067   0.2643   0.0128   0.5782   0.3597   0.7286   2.2851 
  4.2000   0.9241   9.3380   0.5998   8.7584  -0.1714   0.2320  -0.1004   0.8275   0.2453   0.0032   0.5381   0.3434   0.7469   2.3389 
  4.3000   0.7052   8.6936   0.4418   9.3542  -0.0632   0.7955  -0.0286   0.9192   0.2399  -0.0116   0.5487   0.3275   0.7650   2.3938 
  4.4000   0.7336   9.0016   0.7944   9.4596  -0.1480   1.0447   0.0615   0.8673   0.2499  -0.0050   0.5498   0.3096   0.7824   2.4488 
  4.5000   0.6485   9.3907   1.0457   9.7879  -0.2346   0.8457   0.0892   0.6111   0.2609   0.0000   0.5677   0.2895   0.7990   2.5056 
  4.6000   0.5107   8.8800   0.6079   9.2407  -0.2259   0.7383   0.0762   0.6172   0.2405  -0.0033   0.5520   0.2703   0.8136   2.5608 
  4.7000   1.0132   8.8030   0.7295   9.2042  -0.2978   1.1123   0.0234   0.9573   0.2469  -0.0086   0.5281   0.2502   0.8278   2.6136 
  4.8000   0.3931   9.4353   0.7417   9.4596  -0.3237   1.1599   0.0095   0.8846   0.2504   0.0041   0.5766   0.2283   0.8401   2.6712 
  4.9000   0.9038   9.1070   0.9889   9.2772  -0.2571   1.0110   0.0087   0.8197   0.2535  -0.0011   0.5354   0.2058   0.8517   2.7248 
  5.0000   0.7052   9.8162   0.4904   9.6298  -0.5219   0.9192   0.0035   0.6674   0.2580  -0.0004   0.5925   0.1822   0.8622   2.7840 
  5.1000   0.9038   9.7757   0.9646   8.8922  -0.5401   0.5462   0.0095   0.5687   0.2567   0.0118   0.5454   0.1577   0.8700   2.8386 
  5.2000   0.8795   8.7787   0.5228   9.3988  -0.5782   0.7955  -0.1091   0.6345   0.2447  -0.0122   0.5446   0.1347   0.8785   2.8930 
  5.3000   0.2837   8.7584   0.6120   9.7757  -0.4328   1.4576   0.0961   0.2926   0.2429  -0.0086   0.5727   0.1114   0.8853   2.9503 
  5.4000   0.5877   9.0502   1.1429   9.0462  -0.5185   1.4265   0.2060   0.4094   0.2478   0.0070   0.5314   0.0869   0.8893   3.0034 
  5.5000   0.4499   9.6176   0.6809   9.0989  -0.4865   1.2135   0.0762   0.7522   0.2481   0.0094   0.5710   0.0622   0.8918   3.0605 
  5.6000   0.8552   9.4717   0.9281   8.9246  -0.3852   0.9582   0.0476   0.9383   0.2522   0.0078   0.5394   0.0370   0.8931   3.1145 
  5.7000   0.7457   9.3745   0.4175   9.5731  -0.4250   0.9677   0.0061   0.8777   0.2514  -0.0066   0.5774   0.0119   0.8944   3.1722 
  5.8000   0.5026   9.4150   0.9038   9.0219  -0.2527   0.8327   0.0502   0.7721   0.2480   0.0099   0.5529  -0.0128   0.8927   3.2275 
  5.9000   0.7093   9.1799   0.7417   9.3015  -0.0727   0.6535   0.0493   1.0015   0.2492  -0.0011   0.5529  -0.0377   0.8907   3.2828 
  6.0000   0.6363   9.5731   0.7782   9.3380  -0.0892   0.5323   0.0762   0.9340   0.2541   0.0047   0.5681  -0.0628   0.8866   3.3396 
  6.1000   0.7782   9.6541   0.5836   9.1475   0.0615   0.3956  -0.0874   0.9989   0.2520   0.0039   0.5662  -0.0874   0.8813   3.3962 
  6.2000   0.8511   8.8922   0.6809  10.0837   0.1125   0.7920  -0.0796   0.6682   0.2563  -0.0170   0.5664  -0.1126   0.8765   3.4529 
  6.3000   0.9241   8.4382   0.6566   9.0583  -0.3142   1.0612   0.0718   0.5003   0.2385  -0.0111   0.5168  -0.1357   0.8702   3.5046 
  6.4000   0.5147   9.3623   0.7538   9.1799  -0.3055   1.2958   0.1160   0.8500   0.2476   0.0053   0.5608  -0.1586   0.8609   3.5606 
  6.5000   0.8673   9.3056   0.8876   9.3299  -0.2086   1.0413   0.0156   0.8275   0.2549  -0.0001   0.5481  -0.1819   0.8506   3.6154 
  6.6000   0.6809   9.1921   0.5836   9.3785  -0.3826   1.0456   0.0113   0.6613   0.2479  -0.0035   0.5619  -0.2041   0.8396   3.6716 
  6.7000   0.9605   8.8192   1.1429   8.9854  -0.4717   1.3347   0.0164   0.8760   0.2489   0.0002   0.5098  -0.2256   0.8270   3.7226 
  6.8000   0.6323   9.8284   0.4256   9.6541  -0.7548   1.0292   0.0225   0.9097   0.2568  -0.0004   0.5982  -0.2471   0.8129   3.7824 
  6.9000   0.6201  10.2985   0.9362   8.8760  -0.4813   0.6388   0.0061   0.5799   0.2591   0.0217   0.5720  -0.2666   0.7957   3.8396 
  7.0000   0.5998   9.2691   0.2310   9.2569  -0.1800   0.5920  -0.1722   0.7314   0.2420  -0.0045   0.5745  -0.2854   0.7805   3.8971 
  7.1000   0.7944   8.4788   0.5958   9.0827  -0.1420   1.2092   0.0874   0.6544   0.2369  -0.0100   0.5250  -0.3033   0.7650   3.9496 
