t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  0.1000  -0.0648   0.0041  -0.0365   0.0851  -0.4579   0.2666  -0.2856   0.3722  -0.0002  -0.0007   0.0062  -0.0000  -0.0001   0.0006 
  0.2000   2.8979   3.0681   2.8249   3.1735   1.0647   1.7277   1.2179   1.7536   0.1496  -0.0022   0.0168   0.0149  -0.0003   0.0023 
  0.3000   2.2980   3.2383   2.7114   3.0681   0.1463   0.0961   0.1160   0.1679   0.1414   0.0073   0.0421   0.0291   0.0005   0.0065 
  0.4000   2.5412   1.7752   2.3872   1.9211   0.1229   0.0909   0.1619   0.2476   0.1078  -0.0037  -0.0400   0.0399   0.0002   0.0025 
  0.5000   2.1319   2.2737   2.2129   2.3142   0.1376   0.3367   0.2389   0.4518   0.1117   0.0005   0.0079   0.0510   0.0003   0.0033 
  0.6000   2.3710   2.1197   2.2048   2.1926   0.0978   0.0770   0.2302   0.1134   0.1111  -0.0030  -0.0086   0.0621  -0.0000   0.0024 
  0.7000   1.8887   1.7671   2.0346   1.9738   0.0710   0.1082   0.1454   0.0390   0.0958  -0.0008  -0.0059   0.0717  -0.0001   0.0019 
  0.8000   2.0548   2.0670   2.0305   1.9576   0.0805   0.1047   0.3064   0.1385   0.1014   0.0011  -0.0020   0.0819   0.0001   0.0017 
  0.9000   1.9495   1.7752   1.9576   1.8522   0.0918   0.1169   0.2553   0.0770   0.0942  -0.0009  -0.0091   0.0913  -0.0000   0.0008 
  1.0000   1.8846   1.9008   1.9373   1.9495   0.1446   0.2398   0.3376   0.1541   0.0959   0.0001   0.0009   0.1009   0.0000   0.0008 
  1.1000   2.1400   2.0467   2.1156   2.0792   0.1039   0.1523   0.3064   0.0796   0.1048  -0.0007  -0.0042   0.1113  -0.0001   0.0004 
  1.2000   1.8117   1.9495   1.9738   1.8644   0.0511   0.0978   0.2164   0.0433   0.0950   0.0031   0.0009   0.1208   0.0003   0.0005 
  1.3000   1.9130   1.9495   1.8968   1.9008   0.1861   0.1610   0.3506   0.1541   0.0958   0.0004   0.0013   0.1304   0.0003   0.0006 
  1.4000   1.9008   1.7914   2.0792   2.0589   0.2796   0.3306   0.3402   0.1255   0.0979  -0.0011  -0.0042   0.1402   0.0002   0.0002 
  1.5000   1.9576   2.0062   2.0427   2.0346   0.2294   0.2882   0.3592   0.1506   0.1005   0.0007   0.0013   0.1503   0.0003   0.0004 
  1.6000   2.2129   2.1562   2.1319   2.1643   0.1264   0.1471   0.2882   0.0710   0.1083  -0.0011  -0.0008   0.1611   0.0002   0.0003 
  1.7000   1.8522   1.7874   1.8846   1.8481   0.1021   0.1826   0.2649   0.0502   0.0922  -0.0004  -0.0033   0.1703   0.0001  -0.0001 
  1.8000   1.9333   1.9576   1.9819   1.9616   0.2450   0.3817   0.4276   0.2121   0.0979   0.0006   0.0001   0.1801   0.0002  -0.0000 
  1.9000   2.1035   2.1683   2.1683   2.0711   0.1774   0.2138   0.3151   0.1558   0.1064   0.0020  -0.0011   0.1907   0.0004  -0.0001 
  2.0000   1.7792   1.8400   1.9576   1.9089   0.2406   0.2441   0.2354   0.1549   0.0936   0.0014   0.0004   0.2001   0.0005  -0.0001 
  2.1000   2.1562   2.0832   2.1562   2.1440   0.2761   0.2501   0.2675   0.2225   0.1067  -0.0008  -0.0028   0.2108   0.0004  -0.0004 
  2.2000   2.0062   2.0184   2.0427   2.0548   0.1437   0.1324   0.1307   0.0926   0.1015   0.0000   0.0008   0.2209   0.0004  -0.0003 
  2.3000   1.8644   1.8157   1.8481   1.8279   0.2077   0.2597   0.2337   0.2164   0.0920  -0.0004  -0.0022   0.2301   0.0004  -0.0005 
