t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  0.1000   0.0162   0.0000  -0.0000   0.0000  -0.0398   0.0338   0.0727  -0.3523   0.0002  -0.0002  -0.0005   0.0000  -0.0000  -0.0001 
  0.2000   0.5998   0.7457   0.7903   0.7214   0.5877   0.7401   0.7210   0.1870   0.0357   0.0027   0.0025   0.0036   0.0002   0.0002 
  0.3000   1.3861   1.3050   1.3780   1.3375   0.5626   0.6423   0.6596   0.1601   0.0676  -0.0005  -0.0039   0.0104   0.0002  -0.0002 
  0.4000   2.2008   1.9333   1.8481   1.8036   0.2536   0.5116   0.5557   0.1134   0.0973  -0.0028  -0.0101   0.0201  -0.0001  -0.0012 
  0.5000   2.2008   2.0589   2.1683   2.0427   0.3367   0.5029   0.4536   0.0995   0.1059  -0.0002  -0.0087   0.0307  -0.0001  -0.0021 
  0.6000   2.2980   2.2413   2.3710   2.2737   0.3281   0.4588   0.3938   0.0580   0.1148   0.0005  -0.0050   0.0422  -0.0001  -0.0026 
  0.7000   2.3629   2.3264   2.4845   2.2534   0.3047   0.3869   0.3203   0.0718   0.1178   0.0024  -0.0087   0.0539   0.0001  -0.0034 
  0.8000   2.1805   2.3142   2.7479   2.4075   0.3791   0.3791   0.1428   0.0242   0.1206   0.0059  -0.0067   0.0660   0.0007  -0.0041 
  0.9000   2.4358   2.4601   2.4682   2.4318   0.2147   0.2666   0.2294   0.0372   0.1224   0.0008  -0.0004   0.0782   0.0007  -0.0042 
  1.0000   2.3386   2.3021   2.3872   2.3021   0.2121   0.3497   0.2164   0.0675   0.1166   0.0006  -0.0039   0.0899   0.0007  -0.0046 
  1.1000   2.3588   2.5574   2.3710   2.0305   0.1368   0.1420   0.1818   0.0251   0.1165   0.0067  -0.0046   0.1016   0.0013  -0.0050 
  1.2000   2.1521   2.1805   2.4723   2.1562   0.2571   0.3419   0.0969   0.0268   0.1120   0.0043  -0.0093   0.1128   0.0017  -0.0059 
  1.3000   2.3345   2.2129   2.1521   2.1886   0.1238   0.2865   0.2129   0.0424   0.1111  -0.0020  -0.0028   0.1239   0.0014  -0.0062 
  1.4000   2.1440   2.1683   2.1562   2.1278   0.1645   0.2701   0.1939   0.0658   0.1075   0.0007  -0.0001   0.1346   0.0014  -0.0062 
  1.5000   2.1156   2.1278   2.1683   2.0711   0.1809   0.2830   0.1783   0.0710   0.1060   0.0014  -0.0028   0.1452   0.0015  -0.0065 
  1.6000   2.0954   2.3750   2.1805   1.9008   0.1844   0.1420   0.1601   0.0173   0.1069   0.0070  -0.0000   0.1559   0.0021  -0.0065 
