t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  0.1000  -0.0000  -0.0122  -0.0000   0.0000   0.0710  -0.0935  -0.0000  -0.0095  -0.0002  -0.0002  -0.0004  -0.0000  -0.0000  -0.0000 
  0.2000  -4.1989   4.3326  -4.9000   5.1067  -1.6731   1.6195  -1.5650   1.5225   0.0043  -0.0184   0.6019   0.0004  -0.0019   0.0601 
  0.3000  -3.4085   3.2505  -2.9587   3.0762  -1.0872   0.9859  -0.4942   0.2398  -0.0005   0.0078   0.4121   0.0003  -0.0011   0.1014 
  0.4000  -4.1989   4.5596  -4.4501   4.3691  -1.1400   0.7937  -0.6483   0.5592   0.0035  -0.0008   0.5707   0.0007  -0.0011   0.1584 
  0.5000  -2.9465   2.6142  -2.8006   2.0792  -0.8535   0.6700  -0.3532   0.4466  -0.0132   0.0085   0.3390  -0.0008  -0.0005   0.1923 
  0.6000  -3.9922   3.9070  -3.5869   3.9800  -0.7522   1.0993  -0.7392   0.8829   0.0039   0.0042   0.5021  -0.0005  -0.0000   0.2425 
  0.7000  -2.5898   2.6020  -2.6506   2.7033  -0.6492   0.7011  -0.4449   0.3921   0.0008  -0.0020   0.3424  -0.0003  -0.0002   0.2768 
  0.8000  -3.3437   3.6963  -4.0894   3.2991  -0.9322   0.7652  -0.2225   0.7487  -0.0055  -0.0044   0.4685  -0.0007  -0.0008   0.3236 
  0.9000  -2.6506   2.6749  -1.6171   2.3507  -0.5514   0.7565  -0.5765   0.5583   0.0095   0.0170   0.3017  -0.0004   0.0012   0.3538 
  1.0000  -3.4410   3.0397  -3.8665   4.1867  -0.8327   0.8102  -0.8915   0.5626  -0.0010  -0.0197   0.4719   0.0002  -0.0007   0.4010 
  1.1000  -2.6182   2.8816  -2.5777   1.9616  -0.7972   0.6933  -0.1047   0.4094  -0.0044   0.0120   0.3259  -0.0007   0.0002   0.4336 
  1.2000  -3.3964   3.6274  -3.3680   3.5869  -0.6310   0.6431  -0.6769   0.7297   0.0056   0.0009   0.4539  -0.0002   0.0005   0.4790 
  1.3000  -2.3953   2.0103  -2.5412   2.3953  -0.6873   0.7600  -0.5531   0.5141  -0.0066  -0.0066   0.3033  -0.0005  -0.0004   0.5093 
  1.4000  -3.4531   3.6031  -3.3680   3.9800  -0.9201   1.0318  -0.5920   0.5367   0.0095  -0.0036   0.4677   0.0005  -0.0002   0.5561 
  1.5000  -2.8573   2.4439  -2.9830   1.9616  -0.7089   0.6111  -0.1731   0.5453  -0.0179   0.0045   0.3327  -0.0012  -0.0008   0.5893 
  1.6000  -3.1248   3.3113  -2.8735   3.8341  -0.6249   1.1642  -0.5860   0.8058   0.0143  -0.0034   0.4267   0.0001  -0.0003   0.6320 
  1.7000  -2.7357   2.3102  -2.6304   2.7884  -0.9867   1.0032  -0.6509   0.3653  -0.0033  -0.0047   0.3398   0.0001  -0.0009   0.6660 
  1.8000  -3.4693   4.4137  -3.4531   3.1248  -0.9876   0.6578  -0.4484   0.8102   0.0077   0.0163   0.4695  -0.0003   0.0009   0.7129 
  1.9000  -2.5534   2.5817  -3.0762   2.6304  -0.5972   0.2986  -0.4466   0.4761  -0.0052  -0.0071   0.3520  -0.0002   0.0000   0.7481 
  2.0000  -3.2343   2.8330  -3.0154   3.1978  -0.8335   1.0898  -0.5808   0.5981  -0.0027  -0.0018   0.3987  -0.0003  -0.0003   0.7880 
  2.1000  -2.8330   3.1410  -2.7965   3.1410  -0.8742   0.8266  -0.6033   0.4605   0.0082   0.0005   0.3867   0.0003   0.0003   0.8267 
  2.2000  -2.9424   3.0762  -3.5261   2.7520  -1.0716   0.6630  -0.3757   0.6448  -0.0080  -0.0032   0.3992  -0.0000  -0.0005   0.8666 
  2.3000  -3.2748   3.1856  -2.9181   2.8938  -0.6622   0.7937  -0.4111   0.6059  -0.0014   0.0081   0.3985  -0.0007  -0.0001   0.9065 
  2.4000  -2.9951   2.6182  -2.8127   3.1897  -0.5695   0.8543  -0.6007   0.5609   0.0000  -0.0049   0.3771  -0.0003  -0.0004   0.9442 
  2.5000  -2.7520   3.2343  -2.9830   3.0802  -0.9919   0.6847  -0.4527   0.5739   0.0072  -0.0010   0.3912   0.0002   0.0002   0.9833 
  2.6000  -3.1978   3.0640  -3.1289   3.0519  -0.9184   0.6596  -0.5410   0.4345  -0.0026   0.0010   0.4040  -0.0001  -0.0000   1.0237 
  2.7000  -3.0883   2.6749  -2.8492   2.7884  -0.7158   0.8742  -0.5219   0.5912  -0.0059   0.0016   0.3702  -0.0005  -0.0004   1.0607 
  2.8000  -3.0073   3.1978  -3.2140   3.4693  -0.8483   0.9175  -0.4622   0.5263   0.0056  -0.0060   0.4185   0.0003  -0.0002   1.1025 
  2.9000  -2.9830   3.0438  -3.2505   2.4075  -0.8898   0.7167  -0.1515   0.5886  -0.0098   0.0046   0.3794  -0.0006  -0.0009   1.1405 
  3.0000  -3.3558   3.1654  -2.5939   2.9424  -0.4337   0.8630  -0.5548   0.7963   0.0020   0.0123   0.3915  -0.0016  -0.0002   1.1796 
  3.1000  -2.5939   2.9789  -3.0438   3.6112  -0.6596   0.6795  -0.6336   0.5635   0.0119  -0.0135   0.3970   0.0001   0.0004   1.2193 
  3.2000  -3.1532   2.8979  -3.1735   2.6790  -0.9902   0.7756  -0.3783   0.4259  -0.0094   0.0025   0.3865  -0.0005  -0.0004   1.2580 
  3.3000  -3.1127   3.2626  -2.9060   3.1370  -0.5574   0.7011  -0.4189   0.6821   0.0048   0.0042   0.4032  -0.0007   0.0002   1.2983 
  3.4000  -2.7520   2.5453  -2.9708   3.0073  -0.7236   0.7868  -0.5756   0.5886  -0.0021  -0.0085   0.3661   0.0001  -0.0003   1.3349 
  3.5000  -3.1532   3.6233  -3.3194   3.2221  -0.9270   0.7427  -0.3800   0.5401   0.0047   0.0029   0.4324  -0.0001   0.0002   1.3781 
  3.6000  -2.6871   2.7479  -3.3599   2.4723  -0.7816   0.5159  -0.1056   0.5955  -0.0103  -0.0050   0.3658   0.0002  -0.0009   1.4147 
  3.7000  -3.1248   3.1127  -2.6020   3.0519  -0.7626   1.1045  -0.4553   0.6959   0.0055   0.0073   0.3861  -0.0005  -0.0002   1.4533 
  3.8000  -2.7965   3.0519  -2.8127   3.3113  -0.8820   0.7530  -0.7011   0.5254   0.0094  -0.0034   0.3887  -0.0000   0.0007   1.4922 
  3.9000  -3.1167   2.8938  -3.4693   2.7398  -1.0802   0.8275  -0.4060   0.5799  -0.0119  -0.0025   0.3967   0.0001  -0.0005   1.5319 
  4.0000  -2.9424   3.3721  -2.9424   3.3315  -0.8154   0.8102  -0.2380   0.5003   0.0102   0.0005   0.4087   0.0001   0.0005   1.5728 
  4.1000  -3.1289   2.6912  -2.6385   2.7965  -0.8950   0.7877  -0.6760   0.4181  -0.0035   0.0048   0.3654  -0.0004   0.0002   1.6093 
  4.2000  -3.3599   3.5382  -3.1654   3.2018  -0.7981   0.5773  -0.6397   0.7020   0.0027   0.0066   0.4307  -0.0010   0.0004   1.6524 
  4.3000  -2.6628   2.7601  -3.3194   2.5331  -0.7807   0.4276  -0.3332   0.7253  -0.0086  -0.0054   0.3661  -0.0004  -0.0004   1.6890 
  4.4000  -3.4328   2.8979  -2.7763   3.1370  -0.5903   1.0127  -0.6206   0.7773  -0.0022   0.0052   0.3975  -0.0009  -0.0007   1.7287 
  4.5000  -2.7033   3.1491  -2.9424   3.5261  -0.7020   0.6128  -0.6085   0.5929   0.0129  -0.0077   0.4000  -0.0004   0.0007   1.7687 
  4.6000  -3.0032   2.7722  -3.3923   2.7763  -0.9859   0.6821  -0.4068   0.4423  -0.0106  -0.0049   0.3878   0.0003  -0.0002   1.8075 
  4.7000  -3.2383   3.0438  -2.7276   3.1775  -0.6743   0.9573  -0.3713   0.5704   0.0032   0.0047   0.3957  -0.0002  -0.0000   1.8471 
  4.8000  -2.8371   2.5696  -2.8857   3.0559  -0.8621   0.9573  -0.5721   0.5782  -0.0012  -0.0067   0.3684   0.0005   0.0000   1.8839 
  4.9000  -3.3194   3.8665  -3.1370   3.1897  -0.9140   0.6189  -0.3956   0.5765   0.0075   0.0107   0.4387  -0.0008   0.0004   1.9278 
  5.0000  -2.6790   2.4480  -3.4896   2.3223  -0.7219   0.5237  -0.2043   0.7626  -0.0175  -0.0086   0.3552   0.0006  -0.0009   1.9633 
  5.1000  -2.9668   3.2140  -2.5817   3.1370  -0.8266   1.2542  -0.4588   0.9028   0.0100   0.0058   0.3863  -0.0003  -0.0002   2.0019 
  5.2000  -3.1127   3.3356  -2.9343   3.5017  -0.8413   0.6474  -0.7262   0.4778   0.0099   0.0002   0.4183  -0.0007   0.0007   2.0438 
  5.3000  -3.1978   2.8938  -3.1491   2.5574  -0.7427   0.5496  -0.4977   0.6111  -0.0112   0.0048   0.3831  -0.0006  -0.0006   2.0821 
  5.4000  -3.3721   2.9222  -2.7763   3.3558  -0.3601   0.8716  -0.6873   0.7401   0.0016   0.0020   0.4035  -0.0009  -0.0005   2.1224 
  5.5000  -2.8816   2.6060  -2.9303   3.1775  -0.5972   0.8344  -0.5946   0.6397  -0.0004  -0.0078   0.3765  -0.0002  -0.0001   2.1601 
  5.6000  -3.0194   3.4531  -3.3072   3.1654  -0.8188   0.7002  -0.3549   0.6241   0.0036   0.0000   0.4203  -0.0004   0.0002   2.2021 
  5.7000  -2.8087   3.0762  -3.3072   2.6142  -0.6881   0.4813  -0.1757   0.6483  -0.0053  -0.0005   0.3833  -0.0001  -0.0002   2.2404 
  5.8000  -2.3223   2.5047  -2.4966   3.0276  -1.0404   1.1287  -0.6379   0.6907   0.0089  -0.0087   0.3361   0.0001   0.0010   2.2740 
