t, omega_1,     omega_2,    omega_3,    omega_4,     M1,     M2,     M3,    M4,     Vx_o,       Vy_o,   dpsi,    x0,       y0,         psi 
  0.1000  -0.0000   0.0000  -0.0041   0.0000   0.0736   0.1194  -0.0000  -0.0770  -0.0001  -0.0001   0.0001  -0.0000  -0.0000   0.0000 
  0.2000  -1.0457   1.0821  -1.2564   1.3496  -0.8725   1.1365  -0.8630   0.6656   0.0016  -0.0060   0.1537   0.0002  -0.0006   0.0154 
  0.3000  -1.9089   1.8765  -2.1400   2.1035  -0.8136   1.1322  -0.7660   0.6431  -0.0009  -0.0057   0.2607   0.0001  -0.0012   0.0415 
  0.4000  -2.4601   2.4358  -2.7114   2.8816  -0.8474   1.0629  -0.6734   0.5592   0.0018  -0.0087   0.3406   0.0003  -0.0020   0.0755 
  0.5000  -2.6993   2.7479  -3.2221   3.4450  -0.9340   1.0837  -0.5808   0.3757   0.0034  -0.0152   0.3933   0.0008  -0.0035   0.1148 
  0.6000  -3.5139   3.1532  -3.1289   3.3356  -0.5834   0.9547  -0.7210   0.5150  -0.0019   0.0025   0.4263   0.0005  -0.0033   0.1575 
  0.7000  -3.2099   3.9435  -3.4045   2.9911  -0.8093   0.5202  -0.6033   0.6821   0.0040   0.0095   0.4399   0.0008  -0.0023   0.2015 
  0.8000  -3.2505   3.3923  -3.7247   3.3964  -0.8223   0.8396  -0.4215   0.5583  -0.0023  -0.0060   0.4469   0.0007  -0.0029   0.2462 
  0.9000  -3.6517   3.4085  -3.2748   3.4693  -0.5955   0.8370  -0.6717   0.4588  -0.0006   0.0040   0.4482   0.0005  -0.0026   0.2910 
  1.0000  -3.1654   4.1381  -3.2626   3.1167  -0.8240   0.3817  -0.6180   0.6847   0.0103   0.0116   0.4442   0.0012  -0.0012   0.3354 
  1.1000  -2.9911   3.4653  -3.2140   3.1005  -0.9054   0.7072  -0.6319   0.6734   0.0045   0.0018   0.4146   0.0015  -0.0009   0.3769 
  1.2000  -3.1897   2.8735  -3.0316   3.3194  -0.8145   1.0335  -0.7548   0.5245  -0.0004  -0.0036   0.4031   0.0016  -0.0012   0.4172 
  1.3000  -2.9424   3.5382  -3.8341   3.0519  -0.9443   0.6232  -0.2753   0.7089  -0.0023  -0.0051   0.4340   0.0016  -0.0018   0.4606 
  1.4000  -3.5666   3.0681  -3.3234   3.4450  -0.5860   0.8586  -0.5090   0.4311  -0.0047  -0.0017   0.4352   0.0013  -0.0021   0.5041 
  1.5000  -3.2829   3.1046  -2.9789   3.1167  -0.7660   0.8612  -0.7046   0.5540  -0.0005   0.0036   0.4053   0.0011  -0.0018   0.5446 
  1.6000  -3.3113   3.5301  -3.1005   2.8573  -0.7176   0.5808  -0.5877   0.7002  -0.0003   0.0110   0.4156   0.0005  -0.0009   0.5862 
  1.7000  -3.3680   3.3356  -3.4896   3.1856  -0.6682   0.6812  -0.4518   0.5851  -0.0042   0.0004   0.4344   0.0001  -0.0011   0.6296 
  1.8000  -3.1289   3.0640  -3.3072   3.4288  -0.8032   0.8197  -0.5141   0.3964   0.0007  -0.0068   0.4198   0.0006  -0.0016   0.6716 
  1.9000  -3.5747   2.9587  -2.8006   3.1735  -0.5470   0.7972  -0.7461   0.5895  -0.0030   0.0070   0.4061  -0.0001  -0.0012   0.7122 
  2.0000  -2.9222   3.2950  -3.2707   3.1289  -0.8855   0.6552  -0.5029   0.6509   0.0029  -0.0023   0.4096   0.0002  -0.0012   0.7532 
  2.1000  -2.9060   2.9587  -3.4572   3.2140  -0.9080   0.8673  -0.4293   0.5678  -0.0024  -0.0101   0.4070   0.0008  -0.0021   0.7939 
  2.2000  -3.4288   2.8857  -2.9708   3.1775  -0.6068   0.9236  -0.6951   0.5929  -0.0042   0.0021   0.4046   0.0003  -0.0023   0.8343 
  2.3000  -2.7884   3.3680  -3.3113   3.0519  -1.0075   0.6223  -0.3817   0.6873   0.0040  -0.0026   0.4065   0.0008  -0.0022   0.8750 
  2.4000  -2.8857   3.0032  -3.5017   3.2869  -0.9608   0.8552  -0.4155   0.5341  -0.0012  -0.0112   0.4116   0.0016  -0.0030   0.9161 
  2.5000  -3.2950   2.9465  -2.9789   3.0559  -0.7305   0.9106  -0.6492   0.6267  -0.0034   0.0026   0.3986   0.0012  -0.0031   0.9560 
  2.6000  -3.3113   3.2991  -3.4410   2.8857  -0.7080   0.7314  -0.4172   0.7842  -0.0071   0.0035   0.4200   0.0005  -0.0035   0.9980 
  2.7000  -3.2991   3.0924  -3.0762   3.2626  -0.7929   0.7894  -0.5843   0.5644  -0.0003   0.0007   0.4133   0.0004  -0.0034   1.0393 
  2.8000  -3.2140   2.9830  -3.1046   3.4288  -0.7894   0.8699  -0.5592   0.4328   0.0012  -0.0042   0.4133   0.0008  -0.0036   1.0807 
  2.9000  -3.3113   3.2586  -3.1046   3.0276  -0.7106   0.7392  -0.6146   0.6847  -0.0016   0.0055   0.4124   0.0002  -0.0034   1.1219 
  3.0000  -3.0519   3.4410  -3.1897   3.0519  -0.8223   0.6197  -0.5107   0.6899   0.0031   0.0031   0.4135   0.0001  -0.0030   1.1632 
  3.1000  -2.8330   3.0762  -3.0762   2.9830  -0.9755   0.8007  -0.6094   0.7124   0.0019  -0.0019   0.3886   0.0003  -0.0029   1.2021 
  3.2000  -3.2464   2.8209  -2.8695   3.2950  -0.7833   0.9262  -0.7721   0.5765   0.0000  -0.0012   0.3971   0.0005  -0.0030   1.2418 
  3.3000  -2.7357   3.7936  -3.5017   2.8938  -1.0811   0.4847  -0.3358   0.8102   0.0056   0.0017   0.4196   0.0005  -0.0024   1.2838 
  3.4000  -3.2464   3.1856  -3.2707   3.3599  -0.8335   0.7314  -0.5072   0.5470   0.0004  -0.0025   0.4241   0.0007  -0.0024   1.3262 
  3.5000  -3.3315   3.0276  -2.8492   3.1735  -0.7608   0.8699  -0.7461   0.6267   0.0003   0.0042   0.4020   0.0003  -0.0023   1.3664 
  3.6000  -3.1410   3.8098  -3.5625   2.7276  -0.9080   0.3748  -0.3800   0.9063  -0.0021   0.0083   0.4299  -0.0005  -0.0023   1.4094 
  3.7000  -3.5788   3.1289  -3.2586   3.1532  -0.5808   0.7712  -0.5133   0.6717  -0.0069   0.0037   0.4260  -0.0010  -0.0030   1.4520 
  3.8000  -3.3234   2.9708  -3.0316   3.4410  -0.7392   0.8578  -0.6301   0.4925   0.0007  -0.0022   0.4145  -0.0008  -0.0029   1.4934 
  3.9000  -3.3680   3.3234  -2.9789   3.0316  -0.7037   0.6249  -0.6855   0.7600   0.0001   0.0085   0.4124  -0.0016  -0.0028   1.5347 
  4.0000  -3.2464   3.0802  -3.2748   3.2383  -0.7271   0.7106  -0.5090   0.6500  -0.0025  -0.0023   0.4169  -0.0014  -0.0031   1.5763 
  4.1000  -3.1167   3.0032  -3.2140   3.3964  -0.8526   0.8154  -0.5280   0.5574   0.0009  -0.0061   0.4133  -0.0008  -0.0030   1.6177 
  4.2000  -3.3315   3.0316  -3.1005   3.1167  -0.7288   0.7885  -0.6120   0.7158  -0.0035   0.0018   0.4085  -0.0009  -0.0034   1.6585 
  4.3000  -2.9668   3.4207  -3.3721   3.0681  -0.9288   0.4813  -0.4596   0.7582   0.0019  -0.0007   0.4165  -0.0009  -0.0032   1.7002 
  4.4000  -2.8735   3.0154  -3.4936   3.2748  -1.0006   0.8543  -0.3627   0.5972  -0.0010  -0.0110   0.4110   0.0002  -0.0031   1.7413 
  4.5000  -3.5504   2.9424  -3.2099   3.0681  -0.6180   0.9132  -0.5193   0.7080  -0.0094   0.0027   0.4146   0.0001  -0.0041   1.7827 
  4.6000  -3.1289   3.9759  -3.1167   3.0559  -0.8361   0.3445  -0.5297   0.7730   0.0098   0.0117   0.4311  -0.0012  -0.0034   1.8258 
  4.7000  -3.0438   3.1248  -3.3113   3.3599  -0.9011   0.7427  -0.4215   0.5600   0.0016  -0.0063   0.4169  -0.0007  -0.0031   1.8675 
  4.8000  -3.3072   2.9100  -2.9830   3.5017  -0.6976   0.8924  -0.5877   0.4960   0.0015  -0.0033   0.4124  -0.0004  -0.0028   1.9088 
  4.9000  -2.9668   3.6841  -3.5301   2.8087  -0.8889   0.4397  -0.3289   0.8716  -0.0001   0.0039   0.4217  -0.0008  -0.0030   1.9509 
  5.0000  -3.5504   3.1005  -2.8735   3.1370  -0.5955   0.7193  -0.6561   0.6899  -0.0023   0.0080   0.4111  -0.0014  -0.0035   1.9921 
  5.1000  -3.0154   2.8209  -2.9060   3.3072  -0.9097   0.8959  -0.6414   0.5747   0.0026  -0.0047   0.3912  -0.0011  -0.0030   2.0312 
  5.2000  -3.1005   3.0640  -3.1897   3.0397  -0.8301   0.8007  -0.5055   0.7704  -0.0023  -0.0008   0.4024  -0.0009  -0.0032   2.0714 
  5.3000  -2.9708   3.3315  -3.4815   3.2099  -0.9642   0.6448  -0.3298   0.6448   0.0011  -0.0049   0.4219  -0.0006  -0.0029   2.1136 
  5.4000  -3.0519   3.1856  -3.3599   3.4045  -0.9305   0.7366  -0.3783   0.5055   0.0022  -0.0066   0.4221  -0.0001  -0.0024   2.1558 
  5.5000  -3.6882   3.0154  -2.8735   2.9668  -0.5332   0.8509  -0.6855   0.7911  -0.0072   0.0108   0.4073  -0.0006  -0.0036   2.1965 
  5.6000  -3.0883   3.2991  -3.4531   3.0154  -0.8829   0.6102  -0.3480   0.7686  -0.0028  -0.0010   0.4174  -0.0004  -0.0037   2.2383 
  5.7000  -3.0924   2.9546  -3.1978   3.2829  -0.8976   0.7634  -0.4873   0.6345  -0.0007  -0.0054   0.4067   0.0001  -0.0034   2.2790 
  5.8000  -3.3802   2.7276  -2.8573   2.9060  -0.6925   0.9642  -0.6803   0.8232  -0.0075   0.0043   0.3854   0.0003  -0.0043   2.3175 
  5.9000  -3.0154   3.7449  -3.4045   2.9587  -0.8673   0.3912  -0.3826   0.8829   0.0035   0.0050   0.4261  -0.0003  -0.0044   2.3601 
  6.0000  -2.9303   3.0762  -3.1775   3.3680  -0.8933   0.7660  -0.5228   0.6388   0.0042  -0.0067   0.4075  -0.0002  -0.0036   2.4009 
  6.1000  -3.0802   2.7236  -3.1167   3.5058  -0.8396   0.9764  -0.5635   0.5098   0.0004  -0.0102   0.4035   0.0005  -0.0028   2.4412 
  6.2000  -3.2748   3.0640  -3.0397   3.0154  -0.7193   0.7894  -0.6024   0.8180  -0.0029   0.0035   0.4024   0.0005  -0.0033   2.4814 
  6.3000  -3.3477   2.9546  -3.2950   3.3113  -0.7089   0.8483  -0.4622   0.6371  -0.0047  -0.0038   0.4191   0.0011  -0.0033   2.5234 
  6.4000  -3.0519   3.0762  -3.3680   3.5990  -0.8924   0.8214  -0.4085   0.5410   0.0032  -0.0105   0.4252   0.0015  -0.0022   2.5659 
  6.5000  -3.4774   3.2707  -2.9668   2.9830  -0.6362   0.7634  -0.6137   0.8353  -0.0024   0.0100   0.4123   0.0011  -0.0032   2.6071 
  6.6000  -3.2464   3.9151  -3.2343   2.9546  -0.8084   0.3350  -0.4588   0.8180   0.0049   0.0122   0.4335   0.0001  -0.0040   2.6504 
  6.7000  -3.0397   3.0762  -3.4166   3.3437  -0.8846   0.7652  -0.3506   0.6050  -0.0005  -0.0081   0.4181   0.0005  -0.0033   2.6923 
  6.8000  -3.5382   2.9951  -3.2018   3.1613  -0.5808   0.8102  -0.4761   0.6907  -0.0073   0.0021   0.4187   0.0011  -0.0038   2.7341 
  6.9000  -2.9343   3.9435  -3.1735   2.9789  -0.9365   0.3012  -0.4423   0.8786   0.0102   0.0091   0.4231  -0.0002  -0.0042   2.7764 
  7.0000  -2.8816   3.2586  -2.9343   3.1654  -0.9296   0.6777  -0.5678   0.6942   0.0076   0.0005   0.3974  -0.0010  -0.0040   2.8162 
  7.1000  -3.0640   2.5777  -2.8816   3.5747  -0.8578   1.0560  -0.6604   0.4735   0.0026  -0.0102   0.3928  -0.0009  -0.0030   2.8554 
  7.2000  -3.0154   3.4693  -3.4085   2.9303  -0.9019   0.5202  -0.3306   0.8457  -0.0003   0.0018   0.4163  -0.0009  -0.0032   2.8971 
  7.3000  -3.3113   3.0194  -3.1775   3.2221  -0.7781   0.7816  -0.4856   0.6864  -0.0031  -0.0009   0.4133  -0.0006  -0.0031   2.9384 
  7.4000  -3.2383   3.0559  -2.9668   3.4410  -0.8413   0.7903  -0.6016   0.5245   0.0036  -0.0014   0.4124  -0.0009  -0.0029   2.9797 
  7.5000  -3.1978   3.3923  -2.9951   2.9060  -0.8517   0.5635  -0.6085   0.8569   0.0013   0.0086   0.4056  -0.0012  -0.0038   3.0202 
  7.6000  -3.1370   3.5382  -3.4896   3.2343  -0.9037   0.4735  -0.3324   0.7158   0.0018  -0.0006   0.4350  -0.0014  -0.0037   3.0637 
  7.7000  -3.2464   3.1491  -3.1856   3.2383  -0.7877   0.6847  -0.4778   0.6821  -0.0006  -0.0004   0.4162  -0.0013  -0.0036   3.1053 
  7.8000  -3.2626   3.3315  -2.8371   2.9343  -0.7323   0.5713  -0.7054   0.8465   0.0021   0.0103   0.4015  -0.0015  -0.0047   3.1455 
  7.9000  -3.0559   3.3842  -3.3072   3.1856  -0.8846   0.4761  -0.4406   0.7712   0.0026  -0.0007   0.4199  -0.0018  -0.0046   3.1875 
  8.0000  -3.1005   3.0032  -3.3315   3.3072  -0.8794   0.7176  -0.4198   0.6777  -0.0015  -0.0067   0.4137  -0.0017  -0.0039   3.2288 
  8.1000  -3.2748   2.7479  -3.0073   3.7206  -0.7176   0.8837  -0.5981   0.4536   0.0023  -0.0088   0.4140  -0.0020  -0.0031   3.2702 
  8.2000  -2.9911   3.7084  -3.5382   2.8573  -0.9400   0.3826  -0.2830   0.9314   0.0005   0.0038   0.4252  -0.0020  -0.0034   3.3128 
  8.3000  -3.0762   3.0802  -3.2464   3.2950  -0.8690   0.6916  -0.4683   0.6656   0.0007  -0.0048   0.4123  -0.0021  -0.0030   3.3540 
  8.4000  -3.1897   2.8249  -3.1005   3.4774  -0.7929   0.8621  -0.4691   0.5254   0.0002  -0.0070   0.4088  -0.0023  -0.0023   3.3949 
  8.5000  -3.0762   3.5382  -3.4572   2.6912  -0.8708   0.4345  -0.2969   1.0093  -0.0038   0.0058   0.4144  -0.0018  -0.0028   3.4363 
  8.6000  -3.4166   3.2626  -3.3315   3.2221  -0.6665   0.5618  -0.3912   0.7271  -0.0033   0.0016   0.4296  -0.0014  -0.0028   3.4793 
  8.7000  -3.2099   3.1370  -3.2869   3.3437  -0.7548   0.6674  -0.3809   0.6137  -0.0002  -0.0035   0.4213  -0.0015  -0.0025   3.5214 
  8.8000  -3.1654   3.3680  -3.2018   2.8938  -0.8015   0.4934  -0.4631   0.8734  -0.0013   0.0055   0.4100  -0.0012  -0.0029   3.5624 
  8.9000  -3.1167   3.4450  -3.2343   3.1654  -0.8543   0.4458  -0.4068   0.7634   0.0032   0.0020   0.4208  -0.0014  -0.0033   3.6045 
  9.0000  -2.8735   2.9222  -3.0559   3.1654  -0.9790   0.7556  -0.4821   0.7444   0.0020  -0.0053   0.3902  -0.0018  -0.0029   3.6435 
  9.1000  -3.1005   2.8249  -3.0438   3.3194  -0.8872   0.8361  -0.5877   0.6518   0.0000  -0.0055   0.3990  -0.0021  -0.0024   3.6834 
  9.2000  -3.0438   3.0924  -3.6152   2.9708  -0.9625   0.6682  -0.1939   0.8560  -0.0074  -0.0056   0.4131  -0.0017  -0.0015   3.7247 
  9.3000  -3.5504   3.0032  -3.0802   3.2991  -0.7253   0.7626  -0.5211   0.6613  -0.0041   0.0022   0.4199  -0.0013  -0.0015   3.7667 
  9.4000  -3.3194   2.9424  -2.7763   3.3923  -0.8171   0.8154  -0.6700   0.6327   0.0030   0.0012   0.4036  -0.0014  -0.0018   3.8071 
  9.5000  -3.1167   3.8584  -3.4896   2.7844  -0.9340   0.2553  -0.3852   0.9790   0.0005   0.0088   0.4302  -0.0009  -0.0025   3.8501 
  9.6000  -3.3315   3.3802  -3.3964   3.1775  -0.7556   0.5393  -0.3644   0.7470  -0.0021   0.0017   0.4313  -0.0007  -0.0025   3.8932 
  9.7000  -3.3194   3.0762  -3.0154   3.2869  -0.7816   0.6873  -0.5713   0.6509   0.0004   0.0012   0.4123  -0.0006  -0.0026   3.9344 
  9.8000  -3.2464   3.4572  -2.8371   2.8330  -0.8154   0.4094  -0.6881   0.9712   0.0026   0.0129   0.4017   0.0001  -0.0037   3.9746 
  9.9000  -3.1613   3.4045  -3.3964   3.1289  -0.8431   0.4847  -0.3817   0.7920  -0.0003   0.0005   0.4250   0.0002  -0.0037   4.0171 
 10.0000  -2.9546   2.8938  -3.3072   3.3072  -0.9859   0.7582  -0.4060   0.6838  -0.0008  -0.0096   0.4046  -0.0005  -0.0030   4.0576 
 10.1000  -3.1775   3.0883  -3.0640   3.0397  -0.8180   0.7253  -0.5825   0.8361  -0.0014   0.0020   0.4016  -0.0003  -0.0030   4.0977 
 10.2000  -3.0316   3.7449  -3.2099   3.1289  -0.9218   0.3687  -0.4155   0.7781   0.0079   0.0055   0.4258  -0.0003  -0.0040   4.1403 
 10.3000  -2.9789   2.8573  -3.2829   3.3558  -1.0119   0.8361  -0.3990   0.6345  -0.0006  -0.0100   0.4050  -0.0011  -0.0034   4.1808 
 10.4000  -3.1532   2.6993  -3.1005   3.0883  -0.8725   1.0292  -0.4934   0.7877  -0.0058  -0.0042   0.3910  -0.0011  -0.0027   4.2199 
 10.5000  -3.1127   3.5625  -3.4936   2.8330  -0.9738   0.5202  -0.3194   0.9063  -0.0026   0.0044   0.4221  -0.0006  -0.0026   4.2621 
 10.6000  -3.4774   3.1856  -3.2626   3.3437  -0.6864   0.7115  -0.4060   0.6388  -0.0026   0.0007   0.4308  -0.0005  -0.0024   4.3052 
 10.7000  -3.3194   2.8614  -3.0276   3.5382  -0.8180   0.8569  -0.5185   0.5176   0.0007  -0.0048   0.4138  -0.0009  -0.0023   4.3466 
 10.8000  -2.9911   3.2707  -3.4045   2.9708  -0.9919   0.6812  -0.3177   0.8396  -0.0019  -0.0014   0.4103  -0.0010  -0.0021   4.3876 
 10.9000  -3.0032   3.2869  -3.2099   3.2018  -0.9963   0.5834  -0.4172   0.6959   0.0034  -0.0015   0.4124  -0.0012  -0.0023   4.4289 
 11.0000  -2.9708   2.9424  -3.0397   3.1978  -1.0153   0.8379  -0.5462   0.6743   0.0016  -0.0041   0.3945  -0.0017  -0.0024   4.4683 
